SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHNG,%CHNG,VOLUME (shares),VALUE (₹ Crores),52W H,52W L,30 D   %CHNG,365 D % CHNG 06-Dec-2023
PIDILITIND,"3,182.00","3,196.20","3,148.55","3,191.95","3,164.25",-,-27.7,-0.87,"1,72,670",54.66,"3,415.00","2,488.10",2.82,23.9
SONACOMS,678.4,678.4,667.1,675,669.1,-,-5.9,-0.87,"6,59,081",44.24,768.65,531.6,-2.02,17.93
AMBUJACEM,571.7,573.55,564.5,571.1,566.05,-,-5.05,-0.88,"8,55,417",48.54,706.95,453.05,-0.16,13.97
GODREJPROP,"2,864.00","2,870.00","2,792.50","2,860.65","2,834.90",-,-25.75,-0.9,"12,16,370",344.97,"3,402.70","1,864.20",0.97,47.71
ASIANPAINT,"2,468.00","2,468.00","2,427.00","2,452.20","2,428.80",-,-23.4,-0.95,"17,36,042",422.93,"3,422.95","2,422.95",-15.07,-24.61
PATANJALI,"1,872.00","1,921.00","1,832.00","1,868.85","1,851.00",-,-17.85,-0.96,"16,38,658",309.25,"1,992.20","1,169.95",0.7,18.51
TORNTPOWER,"1,673.60","1,704.00","1,635.30","1,664.25","1,648.05",-,-16.2,-0.97,"10,72,709",178.65,"2,037.00",869,-2.67,76.61
SRF,"2,319.95","2,336.00","2,286.40","2,319.75","2,297.10",-,-22.65,-0.98,"2,03,158",46.7,"2,693.95","2,089.10",0.9,-5.4
INDUSINDBK,"1,000.00","1,003.05",986.3,998.2,988.35,-,-9.85,-0.99,"62,58,019",621.91,"1,694.50",966.4,-8.43,-33.52
INDIANB,600,608,587.75,599.35,593.3,-,-6.05,-1.01,"20,37,375",121.7,632.7,391,3.97,42.99
CHOLAFIN,"1,298.65","1,298.65","1,267.75","1,291.45","1,278.35",-,-13.1,-1.01,"9,52,010",121.57,"1,652.00","1,011.20",0.66,11.89
COLPAL,"2,914.50","2,927.55","2,873.80","2,914.00","2,884.20",-,-29.8,-1.02,"2,76,158",79.93,"3,890.00","2,266.60",-2.27,25.01
HDFCLIFE,645,647.45,635.2,643.15,636.2,-,-6.95,-1.08,"64,55,327",411.83,761.2,511.4,-10.33,-5.05
BHARTIARTL,"1,618.00","1,624.65","1,594.80","1,615.35","1,597.75",-,-17.6,-1.09,"42,96,866",689.9,"1,779.00",960,2.34,57.68
BALKRISIND,"2,839.10","2,845.85","2,801.00","2,839.10","2,808.00",-,-31.1,-1.1,"1,24,949",35.21,"3,375.00","2,193.80",1.66,9.93
BHEL,251.9,252.85,248.25,251.8,248.95,-,-2.85,-1.13,"77,62,375",193.99,335.35,165.8,7.04,41.1
GODREJCP,"1,251.00","1,255.00","1,230.60","1,244.75","1,230.65",-,-14.1,-1.13,"8,42,156",104.58,"1,541.85","1,015.70",-1.7,19.84
POONAWALLA,359,362.75,352,358.45,354,-,-4.45,-1.24,"16,88,591",60.07,519.7,270.05,-3.08,-12.74
MANKIND,"2,626.85","2,626.85","2,570.55","2,615.50","2,582.00",-,-33.5,-1.28,"2,74,887",71.28,"2,874.00","1,821.00",-3.64,34.14
SUZLON,68,68.39,67.28,68.26,67.32,-,-0.94,-1.38,"3,85,28,682",260.72,86.04,33.9,1.32,-
CIPLA,"1,513.25","1,513.25","1,476.00","1,498.25","1,477.00",-,-21.25,-1.42,"37,68,932",558.05,"1,702.05","1,192.10",-6.43,24.32
DMART,"3,889.00","3,920.45","3,784.05","3,863.95","3,806.00",-,-57.95,-1.5,"11,41,350",437.51,"5,484.85","3,564.00",-1.59,-6.6
ADANIPORTS,"1,279.00","1,282.50","1,256.10","1,277.05","1,257.80",-,-19.25,-1.51,"22,32,531",282.96,"1,621.40",989.25,-3.93,25.45
AUBANK,602,602,585.55,597.75,588,-,-9.75,-1.63,"27,44,809",162.4,813.4,553.7,-2.61,-20.03
ADANIGREEN,"1,236.05","1,266.85","1,205.15","1,229.60","1,209.50",-,-20.1,-1.63,"38,15,815",469.22,"2,174.10",870.25,-25.22,-21.35
TATACHEM,"1,128.00","1,141.60","1,117.00","1,136.70","1,117.10",-,-19.6,-1.72,"4,43,419",49.95,"1,349.00",933,0.61,12.33
TIINDIA,"3,767.00","3,767.00","3,670.35","3,755.05","3,685.90",-,-69.15,-1.84,"2,21,982",81.98,"4,810.80","3,272.80",-10.24,12.62
ADANIENSOL,826,830,805.3,822.8,807.5,-,-15.3,-1.86,"17,63,438",144.14,"1,348.00",588,-18.94,-29.33
BHARATFORG,"1,383.00","1,385.00","1,351.30","1,379.20","1,353.00",-,-26.2,-1.9,"6,37,711",87.09,"1,804.50","1,063.00",-5.59,17.97
ATGL,744.8,751.45,728,743.95,729,-,-14.95,-2.01,"12,60,840",92.97,"1,259.40",545.75,3.03,-29.37
ALKEM,"5,631.00","5,649.85","5,493.05","5,643.95","5,519.00",-,-124.95,-2.21,"2,02,595",112.16,"6,439.90","4,407.05",-0.47,19.43
PHOENIXLTD,"1,800.05","1,800.05","1,745.10","1,805.00","1,765.00",-,-40,-2.22,"4,14,738",73.14,"2,068.50","1,071.00",20.27,-19.69
M&MFIN,286.95,287.9,277.7,286.25,278.5,-,-7.75,-2.71,"26,96,963",75.42,343,246.2,3.38,5.01
