SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHNG,%CHNG,VOLUME (shares),VALUE (₹ Crores),52W H,52W L,30 D   %CHNG,365 D % CHNG 06-Dec-2023
MFSL,"1,168.10","1,177.35","1,155.75","1,168.10","1,167.70",-,-0.4,-0.03,"9,22,783",107.59,"1,306.45",854.25,-6.63,14.25
MPHASIS,"3,051.30","3,097.00","3,048.45","3,051.30","3,050.05",-,-1.25,-0.04,"3,03,227",92.98,"3,187.80","2,187.00",6.77,27.97
BRITANNIA,"4,872.00","4,906.70","4,840.00","4,872.00","4,870.00",-,-2,-0.04,"2,36,965",115.26,"6,469.90","4,641.00",-13.08,-2.62
M&M,"3,075.50","3,099.00","3,065.95","3,071.60","3,070.00",-,-1.6,-0.05,"26,88,767",828.75,"3,222.10","1,575.00",5.94,80.43
FACT,"1,030.00","1,044.85","1,022.00","1,027.30","1,026.65",-,-0.65,-0.06,"5,59,871",57.84,"1,187.00",572.6,20.2,26.34
BAJFINANCE,"6,875.95","6,935.00","6,778.65","6,850.40","6,846.00",-,-4.4,-0.06,"8,33,207",571.81,"7,830.00","6,187.80",-1.15,-7.76
SHRIRAMFIN,"3,127.00","3,148.25","3,093.60","3,126.30","3,124.00",-,-2.3,-0.07,"6,38,757",199.75,"3,652.25","1,972.00",-1.14,52.08
SUPREMEIND,"4,705.20","4,822.00","4,690.05","4,757.90","4,753.65",-,-4.25,-0.09,"4,68,988",222.49,"6,460.00","3,601.00",9.07,3.91
IDFCFIRSTB,66.08,66.4,65.55,65.96,65.9,-,-0.06,-0.09,"1,80,03,859",118.74,92.45,59.3,-0.53,-27.04
TECHM,"1,797.00","1,797.00","1,775.60","1,786.95","1,785.00",-,-1.95,-0.11,"11,80,840",210.5,"1,797.00","1,162.95",9.45,45.85
HEROMOTOCO,"4,656.95","4,720.00","4,615.00","4,644.35","4,639.00",-,-5.35,-0.12,"7,33,835",340.95,"6,246.25","3,683.00",-3.66,23.49
HINDALCO,673.45,676.5,667.25,670.85,670,-,-0.85,-0.13,"27,23,680",182.91,772.65,496.35,-3.83,28.27
COALINDIA,420,421.5,416.4,418.4,417.85,-,-0.55,-0.13,"42,52,732",178.13,543.55,342.3,-3.79,18.81
SIEMENS,"7,800.00","7,898.00","7,752.10","7,792.45","7,782.00",-,-10.45,-0.13,"2,35,738",184.47,"8,129.90","3,785.05",12,102.3
ASHOKLEY,232.7,234.2,230.4,232.59,232.24,-,-0.35,-0.15,"40,28,844",93.66,264.65,157.55,9.8,31.63
GRASIM,"2,714.90","2,720.00","2,693.35","2,706.80","2,702.30",-,-4.5,-0.17,"3,42,192",92.58,"2,877.75","2,016.55",2.11,31.54
SOLARINDS,"10,855.00","10,865.10","10,710.00","10,826.50","10,808.00",-,-18.5,-0.17,"47,593",51.35,"13,298.00","5,999.45",8.08,72.56
HAL,"4,584.40","4,611.10","4,550.00","4,568.85","4,559.00",-,-9.85,-0.22,"9,12,032",417.33,"5,674.75","2,556.55",7.2,68.31
ABFRL,308.8,309,302.7,307.45,306.75,-,-0.7,-0.23,"43,93,562",134.41,364.4,198.75,1.7,29.37
